attackerTag,defenderTag,stars,destructionPercentage,order,duration,name.x,townhallLevel.x,mapPosition.x,name.y,townhallLevel.y,mapPosition.y,clanTag,warDate
#QUVJY0UR8,#GPG28YRUJ,3,100,37,127,A7WAL BS MRAKEZ,13,24,hero xeph,12,28,2RLRCCJ28,2024-11-08
#2RPVQQJJ,#LVGVPVVC9,2,99,43,174,samuel,14,5,BunsoyQuizol29,14,10,2RLRCCJ28,2024-11-08
#9G2PRG8GR,#CY88VLGJ,3,100,11,123,Lucifer,14,2,(_")ön¿ëBö¿("_),16,4,2RLRCCJ28,2024-11-08
#G9PP2QCJ9,#UJCC9G2V,2,85,23,180,Chiyoda,15,10,GreatONE,16,2,2RLRCCJ28,2024-11-08
#9PRGPRG8,#QC9JP8PPG,3,100,29,162,Tekun,13,28,TONYING,13,23,2RLRCCJ28,2024-11-08
#9GU2LU8UG,#Q0RR0QY0U,3,100,17,97,BjA,13,17,sana ol,13,15,2RLRCCJ28,2024-11-08
#QGPQ2R29,#QC989U2J8,3,100,26,83,pep,13,27,miyamura,12,26,2RLRCCJ28,2024-11-08
#209YU2YUU,#CGR0PQU9,3,100,1,135,quiet shadows,14,8,laneydiozah,14,9,2RLRCCJ28,2024-11-08
#GLRG0JGJP,#GQL22LR82,3,100,9,111,volleyball,12,39,♠♥Jhess♦♣,11,31,2RLRCCJ28,2024-11-08
#GLCY2Q9C8,#80L0RRPQR,2,85,7,114,Phil,16,1,jhun,16,1,2RLRCCJ28,2024-11-08
#LLY2QYLR,#QL8V29QU0,3,100,42,97,jack,14,7,swaggerist,13,12,2RLRCCJ28,2024-11-08
#L0U22GUYP,#LLQRYJV2Y,3,100,22,122,Malroth,13,33,SHARINGAN,13,22,2RLRCCJ28,2024-11-08
#G9RVVVQRC,#88YLUG8UQ,2,74,12,160,Prue,15,9,DEN,16,3,2RLRCCJ28,2024-11-08
#V8GRVJCC,#RVLUR2YL,2,96,35,180,Teebeutel03,14,6,Bo¥onG,14,11,2RLRCCJ28,2024-11-08
#20Q9J0YQ8,#G2JCGYYRR,3,100,21,80,Darryl,13,19,Ragnarok,13,17,2RLRCCJ28,2024-11-08
#VPCPP29U,#PYP2QLRPG,3,100,25,131,Urek Mazino,13,30,_nune_,12,25,2RLRCCJ28,2024-11-08
#GJPY022LC,#G00URP2C8,3,100,6,142,SabreBladez,13,37,LI€B€,13,20,2RLRCCJ28,2024-11-08
#GQGQ2YCRC,#Q2YLPUV9G,3,100,34,87,Mashiro,13,21,earthquake,12,27,2RLRCCJ28,2024-11-08
#QQPPYGVPP,#RY8YQP8C,2,75,32,155,rush,14,3,Makiev',15,5,2RLRCCJ28,2024-11-08
#U82V8UG2,#RUC8YRL9,3,100,13,148,Mr. Sparrow,13,18,Dark,13,16,2RLRCCJ28,2024-11-08
#2Y2RC22GC,#GPYVLVQRR,3,100,31,148,kartik,13,14,CheliZiaNah,13,14,2RLRCCJ28,2024-11-08
#GLUP2Q890,#8P09PVQCU,3,100,10,122,Kata,15,11,janlee#10,14,8,2RLRCCJ28,2024-11-08
#80PCQJQU,#GP2JGLYGC,3,100,30,132,YENG2024,13,20,TARUB'69,13,24,2RLRCCJ28,2024-11-08
#GYCUQRUGG,#G2R8JQ9CP,3,100,2,87,MB,13,36,MY NAME IS.....,13,21,2RLRCCJ28,2024-11-08
#G9V0Q20QG,#YCV8QJCRG,3,100,14,94,Frosch,13,29,Yamz,13,18,2RLRCCJ28,2024-11-08
#VUL2UY28,#G90U2U2V0,3,100,4,109,Apex,12,38,ASTA,12,30,2RLRCCJ28,2024-11-08
#U8R98VLV,#G9JUCURRQ,3,100,16,64,SkullsOfFury,13,32,stillalive,13,19,2RLRCCJ28,2024-11-08
#JR9V82G9,#9JVL99C2C,2,66,5,83,Kyoshi,14,4,☠️KINGSLAYER☠️,15,6,2RLRCCJ28,2024-11-08
#QLU89GU8G,#QGPQ2R29,1,71,56,127,AviatoR,13,20,pep,13,27,2RLRCCJ28,2024-11-08
#QCGL8RCPC,#LLY2QYLR,3,100,41,109,HÛÑTÊR,16,7,jack,14,7,2RLRCCJ28,2024-11-08
#G9LQ2RU9U,#GLRG0JGJP,3,100,52,85,Rûpãm,12,32,volleyball,12,39,2RLRCCJ28,2024-11-08
#PJLPY2JQ0,#GLCY2Q9C8,3,100,53,178,Rajes,16,1,Phil,16,1,2RLRCCJ28,2024-11-08
#G2UGJJGCR,#GJPY022LC,3,100,55,163,Blood--Debasish,12,30,SabreBladez,13,37,2RLRCCJ28,2024-11-08
#999V0QRRU,#80PCQJQU,3,100,50,171,MaX.....,14,17,YENG2024,13,21,2RLRCCJ28,2024-11-08
#QV098JRVU,#G9RVVVQRC,3,100,35,116,ABD,14,9,Prue,15,9,2RLRCCJ28,2024-11-08
#L299C09PP,#L0J2YJLJQ,3,100,24,106,Devil,13,23,Barch only!,13,31,2RLRCCJ28,2024-11-08
#G0QRYQV98,#U82V8UG2,3,100,34,169,SUMIT 001,13,14,Mr. Sparrow,13,18,2RLRCCJ28,2024-11-08
#9PULQLJG8,#V8GRVJCC,2,96,47,180,Blaze,15,6,Teebeutel03,14,6,2RLRCCJ28,2024-11-08
#QV9RVU809,#GP9LCYLQJ,2,87,23,151,ARES,12,26,AngryFluffyCat,13,35,2RLRCCJ28,2024-11-08
#PJ90J9YVV,#G9PP2QCJ9,3,100,49,113,Evil,14,11,Chiyoda,15,10,2RLRCCJ28,2024-11-08
#G2P8C2GL9,#9PRGPRG8,2,82,43,96,ss,14,21,Tekun,13,28,2RLRCCJ28,2024-11-08
#9RQ0QVYYL,#PR9VJGVLV,2,95,31,164,ROHIT,13,18,LMNTRIX,13,22,2RLRCCJ28,2024-11-08
#9Y2LQQL80,#QQPPYGVPP,3,100,46,131,SHERLOCK,16,3,rush,14,3,2RLRCCJ28,2024-11-08
#GYPLQ0V29,#L0U22GUYP,3,100,30,137,Milan nandi,12,25,Malroth,13,33,2RLRCCJ28,2024-11-08
#9YUJL09YP,#YV2CUUPQL,3,100,48,102,Deep,15,4,Bunjujump,14,12,2RLRCCJ28,2024-11-08
#G88UCCGR2,#20Q9J0YQ8,2,79,37,138,꧁BLUE☬BIRD꧂,13,15,Darryl,13,19,2RLRCCJ28,2024-11-08
#9UCUP2LG2,#G9V0Q20QG,3,100,25,176,#OPTIMUS#,13,22,Frosch,13,29,2RLRCCJ28,2024-11-08
#G009Y9G22,#GQGQ2YCRC,3,100,36,165,BIMAN007,13,16,Mashiro,13,20,2RLRCCJ28,2024-11-08
#QUG899YQ0,#GYCUQRUGG,3,100,39,130,BIMAN 2.O,12,27,MB,13,36,2RLRCCJ28,2024-11-08
#QULC8LPUJ,#209YU2YUU,3,100,42,133,Kaluya,15,8,quiet shadows,14,8,2RLRCCJ28,2024-11-08
#G2QRYJ9QP,#JR9V82G9,1,64,40,138,ABD 2.0,14,19,Kyoshi,14,4,2RLRCCJ28,2024-11-08
#YULPP8PJG,#2Y2RC22GC,2,88,51,145,rajes,14,10,kartik,13,14,2RLRCCJ28,2024-11-08
#8VUUL8C88,#9G2PRG8GR,3,100,26,94,DIPESH,16,2,Lucifer,14,2,2RLRCCJ28,2024-11-08
#8VVU0CG2L,#2RPVQQJJ,3,100,38,117,BLACK PANTHER,15,5,samuel,14,5,2RLRCCJ28,2024-11-08
#VR08GQ0P,#G9V0Q20QG,3,100,56,130,relax,14,26,Frosch,13,28,2RLRCCJ28,2024-11-08
#Y99RQGVVQ,#QGPQ2R29,1,77,29,101,The GENERAL,13,35,pep,13,31,2RLRCCJ28,2024-11-08
#YUU0Y8G8Q,#G9V0Q20QG,3,100,9,96,《حاصد الأرواح》,13,30,Frosch,13,28,2RLRCCJ28,2024-11-08
#Q0L0JV0RV,#YV2CUUPQL,3,100,11,99,hossen alswefy,14,17,Bunjujump,14,15,2RLRCCJ28,2024-11-08
#LUC9RR9YU,#GYCUQRUGG,3,100,31,95,AliAli,13,40,MB,13,36,2RLRCCJ28,2024-11-08
#QP9YJ9P2Y,#GLUP2Q890,3,100,27,124,القيسي,14,13,Kata,15,11,2RLRCCJ28,2024-11-08
#PL2PPRL09,#GQGQ2YCRC,3,100,21,132,انـمـار,14,22,Mashiro,13,20,2RLRCCJ28,2024-11-08
#YR8Y29VRR,#U8R98VLV,3,100,32,81,zingar,13,36,SkullsOfFury,13,32,2RLRCCJ28,2024-11-08
#Y0VL0JU9V,#G9PP2QCJ9,3,100,22,110,أدهم الغ,15,11,Chiyoda,15,10,2RLRCCJ28,2024-11-08
#YLC0VPGRR,#9GU2LU8UG,3,100,8,126,EL.BRiNCe,14,25,BjA,13,17,2RLRCCJ28,2024-11-08
#LGP20RPV2,#20Q9J0YQ8,3,100,52,111,sarokh,14,21,Darryl,13,19,2RLRCCJ28,2024-11-08
