attackerTag,defenderTag,stars,destructionPercentage,order,duration,name.x,townhallLevel.x,mapPosition.x,name.y,townhallLevel.y,mapPosition.y,clanTag,warDate
#G0QVQR8R,#L98LUVQQ8,3,100,41,177,Rover230,12,21,akila123,11,29,2RLRCCJ28,2024-10-15
#G0QVQR8R,#G8CGC9Q82,2,66,42,180,Rover230,12,21,LệPhiVũ,13,17,2RLRCCJ28,2024-10-15
#2809R0Y0L,#P29GJ9LQ,2,55,85,79,Nyssa,16,4,Gấu con,16,2,2RLRCCJ28,2024-10-15
#2809R0Y0L,#G2L9JUYRV,2,93,86,178,Nyssa,16,4,Quôc Việt,16,1,2RLRCCJ28,2024-10-15
#YVGJ9LLUC,#G80VGVJYQ,3,100,32,78,XAL1109,14,7,kimhang,14,7,2RLRCCJ28,2024-10-15
#YVGJ9LLUC,#G98JUYLGL,3,100,35,98,XAL1109,14,7,(Viết-Quân)*74,14,6,2RLRCCJ28,2024-10-15
#L0J2YJLJQ,#GP2YJG09Q,3,100,46,82,Barch only!,13,17,Hoàng,14,8,2RLRCCJ28,2024-10-15
#L0J2YJLJQ,#PQQ8G2R9L,1,72,48,85,Barch only!,13,17,riviera,16,3,2RLRCCJ28,2024-10-15
#GPU0YP8LG,#G8UR09VL8,3,100,36,75,Gina Cole,12,22,Hoàng-Quyết 6,14,21,2RLRCCJ28,2024-10-15
#GPU0YP8LG,#GYQ9Y008R,3,100,37,69,Gina Cole,12,22,Hờ Dua,12,23,2RLRCCJ28,2024-10-15
#LQGCQ9JUV,#G9CR8880V,3,100,52,39,Jack Sparrow,11,30,33333376,12,27,2RLRCCJ28,2024-10-15
#LQGCQ9JUV,#GLJ2CYGQL,3,100,53,176,Jack Sparrow,11,30,Ngoc1*,12,24,2RLRCCJ28,2024-10-15
#GLRG0JGJP,#GPPJP2VLC,1,95,27,128,volleyball,12,27,《Tờ mờ đờ》,12,22,2RLRCCJ28,2024-10-15
#GLCY2Q9C8,#G0P82220Q,3,100,18,97,Phil,15,6,tranviet,15,4,2RLRCCJ28,2024-10-15
#GLCY2Q9C8,#QQLJU8P0R,3,100,19,98,Phil,15,6,TMĐ,14,5,2RLRCCJ28,2024-10-15
#GPQRC2CUU,#GLJ2CYGQL,3,100,23,101,Lemonade,12,24,Ngoc1*,12,24,2RLRCCJ28,2024-10-15
#GPQRC2CUU,#GYQ9Y008R,2,82,24,168,Lemonade,12,24,Hờ Dua,12,23,2RLRCCJ28,2024-10-15
#LLY2QYLR,#PQQ8G2R9L,3,100,57,95,jack,14,8,riviera,16,3,2RLRCCJ28,2024-10-15
#L0U22GUYP,#GPP0P99R2,3,100,31,98,Malroth,13,19,I'm Thứ,13,15,2RLRCCJ28,2024-10-15
#L0U22GUYP,#GP90RV0GP,3,100,38,119,Malroth,13,19,son600,13,18,2RLRCCJ28,2024-10-15
#YL8VU8JGC,#P29GJ9LQ,3,100,26,101,Winter,16,2,Gấu con,16,2,2RLRCCJ28,2024-10-15
#YL8VU8JGC,#G2L9JUYRV,3,100,29,104,Winter,16,2,Quôc Việt,16,1,2RLRCCJ28,2024-10-15
#V8GRVJCC,#GPPJLY2CV,3,100,25,108,Teebeutel03,14,9,Vũ.Sẹo,15,10,2RLRCCJ28,2024-10-15
#20Q9J0YQ8,#G8CGC9Q82,3,100,43,75,Darryl,13,14,LệPhiVũ,13,17,2RLRCCJ28,2024-10-15
#GJPY022LC,#GL2JUUCPV,3,100,17,84,SabreBladez,13,23,Ngọc 2*,12,26,2RLRCCJ28,2024-10-15
#GJPY022LC,#GPPJP2VLC,3,100,30,126,SabreBladez,13,23,《Tờ mờ đờ》,12,22,2RLRCCJ28,2024-10-15
#99PPG0PUL,#GP90RV0GP,1,66,20,96,Rabie,13,18,son600,13,18,2RLRCCJ28,2024-10-15
#99PPG0PUL,#QUCY8YU89,1,93,21,140,Rabie,13,18,Thùy Linh,13,19,2RLRCCJ28,2024-10-15
#L9PP00G88,#GPC2PJLUL,3,100,47,51,キヨシ,11,29,Bie,11,30,2RLRCCJ28,2024-10-15
#L9PP00G88,#G8UR09VL8,1,82,79,80,キヨシ,11,29,Hoàng-Quyết 6,14,21,2RLRCCJ28,2024-10-15
#QQPPYGVPP,#G2L9JUYRV,1,55,71,34,rush,14,5,Quôc Việt,16,1,2RLRCCJ28,2024-10-15
#QQPPYGVPP,#P29GJ9LQ,0,39,72,144,rush,14,5,Gấu con,16,2,2RLRCCJ28,2024-10-15
#2Y2RC22GC,#GP2YJG09Q,3,100,66,123,kartik,13,12,Hoàng,14,8,2RLRCCJ28,2024-10-15
#2Y2RC22GC,#G0P82220Q,2,70,67,96,kartik,13,12,tranviet,15,4,2RLRCCJ28,2024-10-15
#G99CGJJ2Y,#QQV2YUUJR,3,100,7,97,M3rcer,13,11,HUY SỊP HỒNG,13,11,2RLRCCJ28,2024-10-15
